Yuma Supersite,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,22.0,20.0,1.0,7.7,32.0,1.0
Bullhead City,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,,,
Kalispell Flathead Electric,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,,,
Columbia Falls,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,2.0,2.0,1.0,4.1,17.0,1.0
Virgin Valley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,1.6,7.0,1.0
Missoula Boyd Park,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,0.0,0.0,1.0
Alamo Lake,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,4.0,4.0,1.0,2.1,9.0,1.0
Ajo,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Buckeye,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,21.0,19.0,1.0,,,
Butte Greely School,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,22.0,20.0,1.0,,,
Pocatello Garrett and Gould,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,2.0,2.0,1.0,1.1,5.0,1.0
Dysart,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,19.0,18.0,1.0,,,
Zuni Hills,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,,,
Glendale Community College,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,5.7,24.0,1.0
West 43rd,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,61.0,54.0,2.0,,,
West Phoenix,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,26.0,24.0,1.0,12.5,52.0,2.0
Durango Complex,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,40.0,37.0,1.0,18.7,65.0,2.0
South Phoenix,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,19.0,18.0,1.0,9.8,41.0,1.0
North Phoenix,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,18.0,17.0,1.0,10.0,42.0,1.0
Maricopa,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,16.0,15.0,1.0,,,
Central Phoenix,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,,,
Hidden Valley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,60.0,53.0,2.0,,,
Herriman #3,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,0.6,3.0,1.0
Harrisville,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,0.0,0.0,1.0,0.2,1.0,1.0
Stanfield,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,,,
Tempe,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,17.0,16.0,1.0,8.6,36.0,1.0
South Scottsdale,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,,,
West Chandler Fire Station,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,22.0,20.0,1.0,,,
Mesa - Brooks Reservoir,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,10.0,9.0,1.0,3.7,15.0,1.0
Senior Center,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
High School,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,,,
LEHI,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
Casa Grande Downtown,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,21.0,19.0,1.0,4.4,18.0,1.0
Higley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,,,
Lindon,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,5.7,24.0,1.0
Ft McD Yuma Frank-AZ,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,,,
Pinal County Housing,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,13.0,12.0,1.0,,,
COMBS,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,,,
Eloy,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,16.0,15.0,1.0,,,
Apache Junction,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Payson Well Site,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,32.0,30.0,1.0,,,
Pinal Air Park,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,25.0,23.0,1.0,,,
Rillito,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,25.0,23.0,1.0,,,
Orange Grove,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,19.0,18.0,1.0,11.0,46.0,1.0
Green Valley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,2.4,10.0,1.0
South Tucson,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,27.0,25.0,1.0,,,
Geronimo,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,23.0,21.0,1.0,5.1,21.0,1.0
Nogales Post Office,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,48.0,44.0,1.0,18.6,65.0,2.0
Miami Golf Course,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,16.0,15.0,1.0,,,
Corona de Tucson,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
Hayden,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,,,
Paul Spur Chemical Lime Plant,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,,,
Douglas Red Cross,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,18.0,17.0,1.0,,,
Lewistown,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,8.0,7.0,1.0,0.9,4.0,1.0
Substation,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Ute 3,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,3.3,14.0,1.0
Malta,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,3.5,15.0,1.0
7E Deming Airport,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,5.0,5.0,1.0,,,
Ute 1,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,10.0,9.0,1.0,5.0,21.0,1.0
Holman Rd,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,,,
South Valley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,55.0,51.0,2.0,,,
Jefferson,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,44.0,41.0,1.0,15.2,58.0,2.0
North Valley,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,38.0,35.0,1.0,19.4,66.0,2.0
Anthony,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,24.0,22.0,1.0,5.5,23.0,1.0
Del Norte,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,15.0,14.0,1.0,,,
Desert View,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,32.0,30.0,1.0,,,
West Mesa,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,,,
Tramway,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,2.1,9.0,1.0
Chaparral,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,20.0,19.0,1.0,,,
Socorro Hueco C49,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,27.0,25.0,1.0,8.0,33.0,1.0
Miles City,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,3.0,3.0,1.0,4.4,18.0,1.0
Broadus,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,16.0,15.0,1.0,1.0,4.0,1.0
La Casa NCORE - 4545 Navajo St.,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,9.0,8.0,1.0,4.7,20.0,1.0
Denver Swansea Elementary School,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
Welby - 78th Ave. & Steele St.,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,,,
Denver - NJH - 14th Ave. & Albion St.,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,2.6,11.0,1.0
Sidney 201,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,1.0,1.0,1.0,2.9,12.0,1.0
WIND CAVE,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,0.0,0.0,1.0,0.0,0.0,1.0
Black Hawk,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,1.0,1.0,1.0,,,
Credit Union,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,4.3,18.0,1.0
Lake Ilo,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,0.0,0.0,1.0,1.5,6.0,1.0
Badlands,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,1.0,4.0,1.0
Goodland,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,4.0,4.0,1.0,,,
Estación CICEG,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,55.0,51.0,2.0,20.4,68.0,2.0
Estación Hospital General,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,94.0,70.0,2.0,,,
Estación Secundaria,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,58.0,52.0,2.0,,,
Estación Bomberos,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,63.0,55.0,2.0,37.1,105.0,3.0
Estación Teódula,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,58.0,52.0,2.0,22.5,73.0,2.0
Estación DIF,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,57.0,52.0,2.0,20.8,69.0,2.0
Estación Cruz Roja,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,29.0,27.0,1.0,,,
Estación Nativitas,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,79.0,63.0,2.0,,,
Estación San Juanico,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,36.0,33.0,1.0,32.2,93.0,2.0
Estación Seguridad Pública,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,35.0,32.0,1.0,,,
Estación Tecnológico,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,43.0,40.0,1.0,,,
Dodge City,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,6.0,6.0,1.0,,,
Cedar Bluff,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,6.8,28.0,1.0
Seiling,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,3.8,16.0,1.0
Aberdeen,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,4.0,4.0,1.0,2.8,12.0,1.0
Lawton North,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,7.0,6.0,1.0,4.5,19.0,1.0
Near Road OKC,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,11.0,10.0,1.0,6.2,26.0,1.0
Moore,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,12.0,11.0,1.0,7.4,31.0,1.0
North OKC,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,10.0,9.0,1.0,5.3,22.0,1.0
PECK,2023-01-28 14:34:55.520593+00:00,2023-01-28T14:00,10.0,9.0,1.0,5.2,22.0,1.0
