datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-25T16:00,PM2.5,1.3,5,1,NCORE - Bishop
2022-12-25T16:00,PM10,2.0,2,1,NCORE - Bishop
2022-12-25T16:00,PM2.5,7.3,30,1,Los Angeles - N. Main Street
2022-12-25T16:00,PM10,13.0,12,1,Los Angeles - N. Main Street
2022-12-25T16:00,PM2.5,30.6,90,2,Compton
2022-12-25T16:00,PM2.5,32.7,94,2,Long Beach Signal Hill
2022-12-25T16:00,PM10,38.0,35,1,Long Beach Signal Hill
2022-12-25T16:00,PM10,6.0,6,1,Mojave - CA 58 Business
2022-12-25T16:00,PM2.5,0.5,2,1,Mojave - CA 58 Business
2022-12-25T16:00,PM2.5,8.9,37,1,La Grande Hall & N Sts
2022-12-25T16:00,PM10,11.0,10,1,Lone Pine
2022-12-25T16:00,PM2.5,7.1,30,1,Lone Pine Paiute/Shoshone Tribe-CA
2022-12-25T16:00,PM10,6.0,6,1,Olancha
2022-12-25T16:00,PM10,7.0,6,1,Bill Stanley
2022-12-25T16:00,PM10,5.0,5,1,North Beach
2022-12-25T16:00,PM2.5,4.8,20,1,Wellpinit-Spokane Tribe
2022-12-25T16:00,PM2.5,7.9,33,1,Dayton-W Main
2022-12-25T16:00,PM10,6.0,6,1,Dirty Socks
2022-12-25T16:00,PM10,5.0,5,1,Coso Junction
2022-12-25T16:00,PM10,5.0,5,1,Lizard Tail
2022-12-25T16:00,PM2.5,9.8,41,1,Anaheim
2022-12-25T16:00,PM10,18.0,17,1,Anaheim
2022-12-25T16:00,PM2.5,16.6,60,2,Colville-E 1st St
2022-12-25T16:00,PM10,14.0,13,1,Colville-E 1st St
2022-12-25T16:00,PM10,5.0,5,1,Shell Cut
2022-12-25T16:00,PM2.5,2.7,11,1,Keeler
2022-12-25T16:00,PM10,9.0,8,1,Keeler
2022-12-25T16:00,PM10,4.0,4,1,Mill Site
2022-12-25T16:00,PM10,3.0,3,1,Glendora - Laurel
