datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,3.3,14,1,Glenpool
2022-12-24T00:00,4.2,18,1,NCORE
2022-12-24T00:00,5.2,22,1,2912 Coffey
2022-12-24T00:00,4.0,17,1,Marshall
2022-12-24T00:00,3.6,15,1,McAlester
2022-12-24T00:00,3.4,14,1,KNI-Topeka
2022-12-24T00:00,3.8,16,1,Union
2022-12-24T00:00,2.6,11,1,Clinton C403
2022-12-24T00:00,2.6,11,1,Viking Lake State Park
2022-12-24T00:00,2.1,9,1,St. Joseph
2022-12-24T00:00,3.9,16,1,Heritage Park
2022-12-24T00:00,4.4,18,1,"Emmetsburg, ILCC"
2022-12-24T00:00,1.1,5,1,RG_South
2022-12-24T00:00,2.1,9,1,Troost
2022-12-24T00:00,2.6,11,1,Blue Ridge I-70
2022-12-24T00:00,1.4,6,1,Liberty
2022-12-24T00:00,3.4,14,1,SPRNGDLE
2022-12-24T00:00,0.2,1,1,El Do Springs
2022-12-24T00:00,4.4,18,1,Shreveport Airport
2022-12-24T00:00,4.1,17,1,St. Michael
2022-12-24T00:00,6.0,25,1,CARPENTER
2022-12-24T00:00,6.6,28,1,Shakopee
2022-12-24T00:00,0.1,0,1,Hillcrest HS
2022-12-24T00:00,4.7,20,1,Lakeville - Near Road
2022-12-24T00:00,3.2,13,1,Westlake
2022-12-24T00:00,4.1,17,1,Minneapolis-Phillips
2022-12-24T00:00,4.3,18,1,Minneapolis-Near Road
2022-12-24T00:00,4.4,18,1,Apple Valley
2022-12-24T00:00,4.6,19,1,St. Paul-Harding H.S.
2022-12-24T00:00,4.9,20,1,Rochester
2022-12-24T00:00,8.1,34,1,"Waterloo, Water Tower"
2022-12-24T00:00,2.8,12,1,PARR
2022-12-24T00:00,3.5,15,1,Lafayette
2022-12-24T00:00,11.1,46,1,Lake Sugema
2022-12-24T00:00,9.6,40,1,PUBLIC HEALTH
2022-12-24T00:00,9.0,38,1,"Iowa City, Hoover School"
2022-12-24T00:00,5.1,21,1,Eau Claire
2022-12-24T00:00,5.2,22,1,LACROSSE DOT
2022-12-24T00:00,6.7,28,1,Capitol
2022-12-24T00:00,5.3,22,1,"Muscatine, High School East Campus"
2022-12-24T00:00,3.5,15,1,French Settlement
2022-12-24T00:00,5.3,22,1,Thibodaux
2022-12-24T00:00,3.7,15,1,CLEVELAND
2022-12-24T00:00,7.1,30,1,Potosi
2022-12-24T00:00,4.7,20,1,PERKINSTOWN
2022-12-24T00:00,9.2,38,1,"Davenport, 10th & Vine"
2022-12-24T00:00,9.0,38,1,ROCK_IS
2022-12-24T00:00,5.6,23,1,Arnold West
2022-12-24T00:00,3.7,15,1,Ladue
2022-12-24T00:00,5.1,21,1,JERSEYVL
2022-12-24T00:00,6.3,26,1,Forest Park
2022-12-24T00:00,4.5,19,1,South Broadway
2022-12-24T00:00,3.1,13,1,Hinds CC
2022-12-24T00:00,8.4,35,1,"Clinton, Chancy Park"
2022-12-24T00:00,1.7,7,1,Madisonville
2022-12-24T00:00,3.2,13,1,Blair Street
2022-12-24T00:00,5.5,23,1,MARION
2022-12-24T00:00,2.2,9,1,Branch Street
2022-12-24T00:00,4.2,18,1,Jackson NCORE
2022-12-24T00:00,5.8,24,1,East St. Louis
2022-12-24T00:00,9.5,40,1,GC_MAD
2022-12-24T00:00,1.4,6,1,City Park
2022-12-24T00:00,4.2,18,1,HERNANDO
2022-12-24T00:00,6.4,27,1,HOUSTON
2022-12-24T00:00,5.3,22,1,Devils Lake
2022-12-24T00:00,6.5,27,1,Springfield Ag
2022-12-24T00:00,5.5,23,1,Madison University Ave
2022-12-24T00:00,3.0,13,1,WAVELAND
2022-12-24T00:00,0.0,0,1,DYERSBURG
2022-12-24T00:00,5.1,21,1,MADISON EAST
2022-12-24T00:00,4.3,18,1,Hattiesburg
2022-12-24T00:00,6.4,27,1,Rockford
2022-12-24T00:00,3.6,15,1,GPORT YC
2022-12-24T00:00,10.5,44,1,NORMAL
2022-12-24T00:00,8.0,33,1,DECATUR
2022-12-24T00:00,2.1,9,1,Jackson
2022-12-24T00:00,4.9,20,1,Horicon Wildlife Area
2022-12-24T00:00,3.2,13,1,PASCAGOULA
2022-12-24T00:00,5.5,23,1,APPLETON AAL
2022-12-24T00:00,7.4,31,1,BONDVILLE
2022-12-24T00:00,0.0,0,1,Ward
2022-12-24T00:00,6.4,27,1,CARY
2022-12-24T00:00,6.7,28,1,WAUKESHA - CLEVELAND AVE
2022-12-24T00:00,7.8,33,1,BRAIDWD
2022-12-24T00:00,9.3,39,1,Naperville
2022-12-24T00:00,9.8,41,1,Joliet
2022-12-24T00:00,3.7,15,1,CHICK.
2022-12-24T00:00,5.2,22,1,GREEN BAY E HIGH
2022-12-24T00:00,5.8,24,1,MILWAUKEE COLLEGE AVE.-NR
2022-12-24T00:00,6.2,26,1,MILWAUKEE 16TH ST
