station_name,datetime,pm_10_conc,pm_10_AQI,pm_10_cat,pm_25_conc,pm_25_AQI,pm_25_AQI_cat
FRANCONIA,2022-12-24T00:00,10.0,9.0,1.0,5.1,21.0,1.0
HAMPTON,2022-12-24T00:00,9.0,8.0,1.0,4.4,18.0,1.0
Princess Anne,2022-12-24T00:00,13.0,12.0,1.0,4.7,20.0,1.0
Pocomoke City,2022-12-24T00:00,9.0,8.0,1.0,4.3,18.0,1.0
Ft McD Yuma Frank-AZ,2022-12-24T01:00,18.0,17.0,1.0,,,
Crescent City,2022-12-24T00:00,,,,3.7,15.0,1.0
Florence-Department of Forestry,2022-12-24T00:00,,,,3.5,15.0,1.0
Toledo NE Hwy20 & NW A St,2022-12-24T00:00,,,,6.7,28.0,1.0
Cave Junction Forest Service,2022-12-24T00:00,,,,2.6,11.0,1.0
MMCA82001,2022-12-24T00:00,,,,6.8,28.0,1.0
Roseburg Fire Dept,2022-12-24T00:00,,,,18.4,64.0,2.0
Willits Blosser Lane,2022-12-24T00:00,,,,9.0,38.0,1.0
Grants Pass - Parkside School,2022-12-24T00:00,,,,4.6,19.0,1.0
Dallas LaCreole Middle School,2022-12-24T00:00,,,,5.6,23.0,1.0
Corvallis EPA Office,2022-12-24T00:00,,,,11.8,49.0,1.0
Ukiah Library,2022-12-24T00:00,,,,8.9,37.0,1.0
MMCA82067,2022-12-24T00:00,,,,3.1,13.0,1.0
McMinnville High School,2022-12-24T00:00,,,,9.2,38.0,1.0
Eugene - Highway 99,2022-12-24T00:00,,,,13.0,53.0,2.0
Eugene - Wilkes Dr.,2022-12-24T00:00,,,,0.5,2.0,1.0
Albany - Calapooia School,2022-12-24T00:00,,,,12.3,51.0,2.0
Eugene - Amazon Park,2022-12-24T00:00,,,,24.5,77.0,2.0
Cottage Grove City Shops,2022-12-24T00:00,,,,8.9,37.0,1.0
Springfield City Hall,2022-12-24T00:00,,,,4.8,20.0,1.0
Salem - State Hospital,2022-12-24T00:00,,,,15.5,58.0,2.0
Salem Chemeketa Community College,2022-12-24T00:00,,,,12.7,52.0,2.0
Weaverville,2022-12-24T00:00,,,,1.7,7.0,1.0
Turner - CJHS,2022-12-24T00:00,,,,7.2,30.0,1.0
SISK1006,2022-12-24T00:00,,,,0.0,0.0,1.0
Medford Welch & Jackson,2022-12-24T00:00,,,,12.8,52.0,2.0
Woodburn Chemeketa Community College,2022-12-24T00:00,,,,8.7,36.0,1.0
Sebastopol,2022-12-24T00:00,,,,22.9,74.0,2.0
Shady Cove - Shady Cove School,2022-12-24T00:00,,,,5.2,22.0,1.0
Silverton,2022-12-24T00:00,,,,8.7,36.0,1.0
Talent - Rapp Lane,2022-12-24T00:00,,,,8.3,35.0,1.0
Portland Near Road,2022-12-24T00:00,,,,9.1,38.0,1.0
Sweet Home - Fire Department,2022-12-24T00:00,,,,18.6,65.0,2.0
Ashland Fire Dept,2022-12-24T00:00,,,,7.8,33.0,1.0
Lyons,2022-12-24T00:00,,,,16.0,59.0,2.0
Portland - Spangler Road,2022-12-24T00:00,,,,8.5,35.0,1.0
MMCA82015,2022-12-24T00:00,,,,7.2,30.0,1.0
San Rafael,2022-12-24T00:00,,,,30.2,89.0,2.0
Oakridge - Willamette Activity Center,2022-12-24T00:00,,,,13.5,54.0,2.0
Mill City,2022-12-24T00:00,,,,11.3,47.0,1.0
San Francisco,2022-12-24T00:00,,,,28.0,84.0,2.0
Redding,2022-12-24T00:00,,,,5.6,23.0,1.0
San Pablo - Rumrill,2022-12-24T00:00,,,,29.9,88.0,2.0
Estacada Clackamas River Elementary School,2022-12-24T00:00,,,,7.0,29.0,1.0
