datetime,parameter,concentration,AQI,AQI cat,station_name
2022-12-29T02:00,PM2.5,4.6,19,1,Spanish Springs
2022-12-29T02:00,PM2.5,4.8,20,1,Clovis - N. Villa Ave
2022-12-29T02:00,PM10,17.0,16,1,Clovis - N. Villa Ave
2022-12-29T02:00,PM2.5,8.0,33,1,Santa Barbara
2022-12-29T02:00,PM10,14.0,13,1,Santa Barbara
2022-12-29T02:00,PM2.5,8.7,36,1,Hanford - S. Irwin Street
2022-12-29T02:00,PM10,21.0,19,1,Hanford - S. Irwin Street
2022-12-29T02:00,PM2.5,7.7,32,1,Corcoran
2022-12-29T02:00,PM10,20.0,19,1,Corcoran
2022-12-29T02:00,PM2.5,22.2,72,2,Omak-Colville Tribe
2022-12-29T02:00,PM2.5,5.2,22,1,Soap Lake
2022-12-29T02:00,PM2.5,5.2,22,1,Kelowna KLO Road
2022-12-29T02:00,PM10,11.0,10,1,Kelowna KLO Road
2022-12-29T02:00,PM2.5,10.0,42,1,Beaverlodge
2022-12-29T02:00,PM2.5,12.4,52,2,Visalia - W Ashland Avenue
2022-12-29T02:00,PM10,0.0,0,1,Wadsworth-NV
2022-12-29T02:00,PM2.5,2.7,11,1,Moses Lake-Balsam St
2022-12-29T02:00,PM2.5,9.0,38,1,Vernon Science Centre
2022-12-29T02:00,PM10,22.0,20,1,Vernon Science Centre
2022-12-29T02:00,PM2.5,2.0,8,1,Hermiston - Municipal Airport
2022-12-29T02:00,PM2.5,0.2,1,1,Kennewick-S Clodfelter Rd (SOS)
2022-12-29T02:00,PM2.5,5.6,23,1,Ojai - Ojai Ave.
2022-12-29T02:00,PM10,2.0,2,1,Kennewick-Metaline
2022-12-29T02:00,PM2.5,0.5,2,1,Kennewick-Metaline
2022-12-29T02:00,PM2.5,3.3,14,1,El Rio - Rio Mesa School #2
2022-12-29T02:00,PM10,14.0,13,1,El Rio - Rio Mesa School #2
2022-12-29T02:00,PM2.5,2.0,8,1,Lee Vining
